time,reason,dir,station,cat_type,day
6:06 PM,"Train experienced technical problem, unload passengers at Ayala Station NB at 1808H. Normal operations resumed 1812H.",North Bound,Magallanes - Ayala Avenue,CAT 3,"May 10, 2016"
7:30 PM,"Train experienced technical problem, unload passengers at Buendia Station NB at 1934H. Normal operations resumed 1937H.",North Bound,Ayala Avenue - Buendia,CAT 3,"May 05, 2016"
6:01 AM,"Train experienced technical problem, not loading passengers at Taft Ave Station. Normal operations resumed 0604H.",South Bound,Magallanes - Taft Avenue,CAT 3,"May 04, 2016"
2:28 PM,"Train experienced technical problem, unload passengers at Cubao Station SB at 1428H. Normal operations resumed 1430H.",South Bound,Cubao,CAT 2,"May 03, 2016"
3:27 PM,"Train experienced technical problem, unload passengers at Kamuning Station SB at 1527H. Normal operations resumed 1529H.",South Bound,GMA Kamuning,CAT 3,"May 02, 2016"
10:11 AM,Train experienced technical problem. Unloaded passengers at Ayala Station NB 1011H. Normal operations resumed 1014H.,North Bound,Ayala Avenue,CAT 2,"May 01, 2016"
5:57 AM,Service interruption due to technical problem. Provisional service operation implemented from North - Shaw Blvd Stations NB/SB 0606H. ,South Bound,Shaw Boulevard - Boni Avenue,CAT 4,"April 30, 2016"
6:51 AM,"Provisional service operations fr North - Shaw Blvd Stations lifted, full operations resumed North -Taft Stations SB/NB 0651H.",South Bound,North Avenue - Taft Avenue,CAT 1,"April 29, 2016"
7:03 AM,Train experienced technical problem. Unloaded passengers at Ortigas Station SB 0703H. Normal operations resumed 0707H.,South Bound,Ortigas,CAT 3,"April 28, 2016"
11:34 AM,Train experienced technical problem. Unloaded passengers at Kamuning Station NB at 1134H. Normal operations resumed at 1136H.,North Bound,GMA Kamuning,CAT 2,"April 26, 2016"
12:11 PM,Train experienced technical problem. Unloaded passengers at Quezon Station SB 1211H. Normal operations resumed 1216H.,South Bound,Quezon Avenue,CAT 3,"April 22, 2016"
12:51 PM,Train experienced technical problem. Unloaded passengers at Ortigas Station SB 1251H. Normal operations resumed 1256H.,South Bound,Ortigas,CAT 3,"April 21, 2016"
12:43 PM,Train unloaded passengers due to technical problem. Normal operations resumed 1245H,North Bound,GMA Kamuning,CAT 2,"April 20, 2016"
7:39 AM,Train unloaded passengers due to technical problem. Normal operations resumed 0742H. ,South Bound,Shaw Boulevard,CAT 3,"April 19, 2016"
9:57 AM,Train unloaded passengers due to technical problem. Normal operations resumed 1001H.,South Bound,Ortigas,CAT 3,"April 18, 2016"
7:15 AM,Train unloaded passengers due to technical problem. Normal operations resumed at 0718H. Expect delayed arrival of train at station.,North Bound,Buendia,CAT 3,"April 17, 2016"
11:56 AM,Train unloaded passengers due to technical problem. Normal operations resumed at 1201H. Expect delayed arrival of train at station.,South Bound,Cubao,CAT 3,"April 15, 2016"
1:03 PM,Train unloaded passengers due to technical problem. Normal operations resumed at 1305H. Expect delayed arrival of train at station.,North Bound,Ortigas,CAT 3,"April 14, 2016"
7:18 AM,"Train unloaded passengers due to technical problem. Normal operations resumed at 0723H.
Expect delayed arrival of train at station.",South Bound,Cubao,CAT 3,"April 13, 2016"
6:03 AM,Train unloaded passengers due to technical problem. Normal operations resumed 0606H.,North Bound,Ayala Avenue,CAT 3,"April 12, 2016"
8:11 AM,Train unloaded passengers due to technical problem. Normal operations resumed 0815h.,South Bound,Boni Avenue,CAT 3,"April 11, 2016"
10:33 AM,"Train experienced technical problem, unloaded passengers at Magallanes Station SB 1037h. Normal operations resumed 1040h.",South Bound,Ayala Avenue - Magallanes,CAT 3,"April 10, 2016"
7:06 PM,Train unloaded passengers at Ortigas Station due to technical problem.  Normal operations resumed at around 7:11PM.  Expect delayed arrival of trains in every station.,North Bound,Ortigas,CAT 3,"April 09, 2016"
7:11 PM,Train unloaded passengers at Magallanes Station NB due to technical problem. Normal operations resumed 7:13PM.  Expect delayed arrival of trains.,North Bound,Magallanes,CAT 3,"April 08, 2016"
6:31 AM,train unloaded passengers due to technical problem. Normal operations resumed at 0634H. Expect delayed arrival of train at station.,South Bound,Ortigas,CAT 3,"April 07, 2016"
7:48 AM,Train unloaded passengers due to technical problem. Normal operations resumed at 0751H. Expect delayed arrival of train at station.,South Bound,Ortigas,CAT 3,"April 06, 2016"
10:02 AM,Train unloaded passengers due to technical problem. Normal operations resumed 1005H.,South Bound,Ortigas,CAT 3,"April 05, 2016"
4:59 PM,Train unloaded passengers due to technical problem 1702h. Normal operations resumed 1707H.,South Bound,Buendia,CAT 3,"April 03, 2016"
5:42 AM,"Train unloaded passengers due to technical problem. Normal operations resumed at 0545H.
Expect delayed train arrival at station.",South Bound,Santolan Anapolis,CAT 2,"April 02, 2016"
5:28 AM,Train unloaded passengers due to technical problem. Normal operations resumed at 0531H. Expect delayed arrival of train at station.,North Bound,Ayala Avenue,CAT 3,"March 31, 2016"
2:27 PM,Train unloaded passengers due to technical problem. Normal operations resumed at 1428H. Expect delayed train arrival at station.,South Bound,Quezon Avenue,CAT 2,"March 30, 2016"
5:00 PM,"Train unloaded passengers due to technical problem. Normal operations resumed at 1703H.
Expect delayed train arrival at station.",North Bound,Ayala Avenue,CAT 2,"March 30, 2016"
11:31 AM,Train unloaded passengers due to technical problem 1134H. Normal operations resumed 1137H.,North Bound,Boni Avenue,CAT 3,"March 29, 2016"
7:40 PM,Train unloaded passengers at Buendia NB due to technical problem.Normal operations resumed at 1946H. Expect delayed arrival of train at station.,North Bound,Buendia,CAT 3,"March 29, 2016"
10:53 AM,Train unloaded passengers due to technical problem. Normal operations resumed 1056H. Expect delayed arrival of train at station.	,South Bound,Ortigas,CAT 3,"March 29, 2016"
9:07 PM,Train unloaded passengers due to technical problem. Normal operations resumed 2113H. Expect delayed arrival of train at station.	,North Bound,Boni Avenue,CAT 3,"March 23, 2016"
7:08 PM,Train unloaded passengers due to technical problem. Expect delayed arrival of train at station.,South Bound,Boni Avenue,CAT 1,"March 22, 2016"
1:26 PM,Train unloaded passengers due to technical problem. Normal operations resumed  1329h. Expect delay arrival of train at the station.,South Bound,Ayala Avenue,CAT 3,"March 22, 2016"
8:50 AM,"Service interruption due to technical problem. Normal operations resumed 0902H, unloaded passengers at Ortigas Station SB.",South Bound,Santolan Anapolis - Ortigas,CAT 4,"March 21, 2016"
5:45 AM,"Train delay due to technical problem, Normal operations resumed 0550h. Unloaded passengers at Shaw Blvd Station NB.",North Bound,Boni Avenue - Shaw Boulevard,CAT 3,"March 19, 2016"
12:53 PM,Train unloaded passengers due to technical problem (1253h).  Expect delay arrival of train at the station. ,South Bound,Ayala Avenue - Ayala Avenue,CAT 3,"March 18, 2016"
5:56 PM,"Train delay due to technical problem, will unload passengers at Kamuning Station NB.",North Bound,Cubao - GMA Kamuning,CAT 2,"March 18, 2016"
6:30 PM,Train unloaded passengers due to technical problem. Normal operations resumed 1838H.,South Bound,Ayala Avenue,CAT 3,"March 17, 2016"
8:26 AM,Train unloaded passengers due to technical problem (0829h). Normal operations resumed 0836H.,North Bound,Magallanes,CAT 4,"March 16, 2016"
12:57 PM,Train unloaded passengers due to technical problem. Normal operations resumed 1300H.,South Bound,GMA Kamuning,CAT 3,"March 15, 2016"
12:41 PM,Train unloaded passengers due to technical problem. Normal operations resumed at 1243H.,North Bound,GMA Kamuning,CAT 2,"March 14, 2016"
5:12 PM,Train unloaded passengers due to technical problem. Normal operations resumed at 1718H.,South Bound,Cubao,CAT 3,"March 14, 2016"
7:53 AM,Train unloaded passengers due to technical problem. Normal operations resumed 0758h.,South Bound,Shaw Boulevard,CAT 2,"March 14, 2016"
12:35 PM,Train unloaded passengers due to technical problem. Normal operations resumed 1237h.,South Bound,Shaw Boulevard,CAT 3,"March 13, 2016"
5:37 PM,"Train unloaded passengers due to technical problem.
Normal operation resumed at 1739H.
Expect delayed arrival of train at station.",South Bound,Boni Avenue,CAT 3,"March 13, 2016"
4:57 PM,"Train unloaded passengers due to technical problem.
Normal operation resumed at 1658H. 
Expect delayed arrival of train at station.",South Bound,GMA Kamuning,CAT 3,"March 12, 2016"
6:51 PM,"Train unloaded passengers due to technical problem.
Normal operations resumed at 1855 H.
Expect delayed arrival of train at station.",North Bound,Magallanes,CAT 3,"March 12, 2016"
5:48 AM,Train unloaded passengers due to technical problem. Normal operations resumed 0556H. Expect delayed arrival of train at station. ,North Bound,Guadalupe,CAT 3,"March 11, 2016"
9:40 AM,Train unloaded passengers due to technical problem. Normal operations resumed 0944h.,South Bound,Magallanes,CAT 3,"March 10, 2016"
6:24 AM,Train unloaded passengers due to technical problem. Normal revenue resumed 0627H.,South Bound,Ayala Avenue,CAT 3,"March 10, 2016"
10:38 PM,Train unloaded passengers at ShawStation NB at 22:38H due to technical problem. Expect delayed arrival of trains at stations.,North Bound,Shaw Boulevard,CAT 3,"March 09, 2016"
6:40 PM,"Service Interruption due to technical problem, passengers were unloaded 1843h. Normal operations resumed 1856h.",South Bound,Boni Avenue,CAT 4,"March 07, 2016"
10:51 AM,Train unloaded passengers at Shaw Pocket Track  at 1051H due to technical problem. Expect delayed arrival of trains at stations.,South Bound,Shaw Boulevard,CAT 2,"March 06, 2016"
12:37 PM,Train unloaded passengers at Santolan Station NB at 1237H due to technical problem. Expect delayed arrival of trains at stations.,North Bound,Santolan Anapolis,CAT 3,"March 05, 2016"
1:51 PM,Train unloaded passengers at Quezon Avenue Station NB at 1351H due to technical problem. Expect delayed arrival of trains at stations.,North Bound,Quezon Avenue,CAT 2,"March 04, 2016"
9:25 AM,Service interruption due to system failure from North Avenue to Taft Avenue Station at 0925H. All trains are advised to stop at nearest stations.,North Bound,North Avenue,CAT 4,"March 04, 2016"
10:50 AM,Service interruption due to train failure between Kamuning and Cubao Station SB at 1050H. Normal operations resumed 1111H.  Expect delayed arrival of trains in every station.,South Bound,Cubao,CAT 2,"March 02, 2016"
1:37 PM,Train unloaded passengers at Santolan  Station SB due to technical problem. Expect delayed arrival of trains at stations.,South Bound,Santolan Anapolis,CAT 3,"March 01, 2016"
2:45 PM,Service interruption due to technical problem at Magallanes Station NB 1445H. Normal operations resumed 1556h.,North Bound,Magallanes,CAT 4,"February 28, 2016"
1:03 PM,Train unloaded passengers at Quezon Avenue station NB due to technical problem. Expect delayed arrival of trains at stations.,North Bound,Quezon Avenue,CAT 3,"February 26, 2016"
2:02 PM,Train unloaded passengers at Magallanes station SB due to technical problem. Expect delayed arrival of trains at stations.,South Bound,Magallanes,CAT 3,"February 24, 2016"
7:53 AM,Index 09 unloaded its passengers at Buendia Station NB at around 0753H due to train problem. Expect delayed arrival of trains in every station.,North Bound,Buendia,CAT 2,"February 23, 2016"
6:40 AM,Index 10 unloaded its passengers at Santolan Station NB at around 0640HH due to train problem. Expect delayed arrival of trains in every station.,North Bound,Santolan Anapolis,CAT 2,"February 19, 2016"
7:58 AM,Index 01 unloaded its passengers at Boni SB Station at around 0758H due to train failure. Expect delayed arrival of trains in every station.,South Bound,Boni Avenue,CAT 2,"February 16, 2016"
10:28 AM,Provisional Service lifted at 1013H. Normal operation resumed.,South Bound,Ayala Avenue,CAT 1,"February 15, 2016"
9:13 AM,Service interruption due to technical problem between Ayala and Magallanes Stations SB at 0913H. Provisional Service operation from North To Shaw Stations implemented at 0921H. 	,South Bound,Ayala Avenue,CAT 4,"February 15, 2016"
7:00 PM,Index 11 unloaded its passengers at Cubao NB Station at around 1900H due to train failure.  Expect delayed arrival of trains in every station. ,North Bound,Cubao,CAT 2,"February 12, 2016"
5:48 PM,Service interruption due to technical problem between Ayala and Buendia Stations NB at 1748H. Provisional Service operation from North To Shaw Stations implemented at 1802H. Provisional Service lifted at 1842H. Normal operation resumed at 1842H.,North Bound,Ayala Avenue,CAT 4,"February 04, 2016"
3:19 PM,"Service interruption due to technical problem between Santolan to Ortigas Stations SB at 3:19 PM. Provisional service operation implemented from Shaw Blvd to Taft Stations at 3:28 PM. Provisional service operation lifted at 3:55 PM, normal revenue operations from North to Taft Stations resumed.",South Bound,Santolan Anapolis,CAT 4,"February 03, 2016"
7:14 AM,At 0714H Index 10 unloaded passenger at Cubao Southbound due train failure.   Train movement resumed at 0721H.  Expect delayed arrival of trains in every station.,South Bound,Cubao,CAT 3,"February 01, 2016"
11:18 AM,"Service interruption, train experienced technical problem at Magallanes Station NB 1118H. Normal revenue operations resumed 1135H. ",North Bound,Magallanes,CAT 4,"January 14, 2016"
5:03 AM,"Service Interruption due to technical and system problem from Buendia Station to Taft Avenue Station both North bound and southbound at 5:03 AM. with Provisional Service implemented from North Avenue to Shaw Boulevard Station. 
Normal revenue operations resumed at 6:58AM",North Bound,Buendia,CAT 4,"January 08, 2016"
1:36 PM,Service Interruption due to technical and system problem from Buendia Station to Taft Avenue Station both North bound and Southbound at 1:36 PM. Provisional Service operation implemented from North Avenue to Shaw Boulevard Station at 2:23 PM onward.,North Bound,Buendia,CAT 4,"December 26, 2015"
8:52 PM,Provisional service operations from North - Shaw Blvd. Stations now lifted. Normal revenue operations from North - Taft Stations resumed 2052H.,North Bound,Buendia,CAT 4,"December 15, 2015"
5:11 AM,Service interruption on Index 08 due to technical problem (0511H - 0533H). ,South Bound,North Avenue,CAT 4,"December 12, 2015"
4:38 PM,Service Interruption due to technical problem between Guadalupe Station and Boni Avenue Station Northbound. Provisional Service was implemented from North Avenue Station to Shaw Boulevard Station as of 4: 38PM.,North Bound,Boni Avenue,CAT 4,"December 05, 2015"
5:14 PM,Provisional Service from North Avenue Station to Shaw Boulevard Station was lifted.  Normal revenue service will begin at 1714H.,North Bound,Boni Avenue,CAT 4,"November 29, 2015"
